% Device,CC1606011
% File name,CC1606011_20200811_122016
% Cast time (UTC),2020-08-11 12:20:16
% Cast time (local),2020-08-11 08:20:16
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.4884485
% Start longitude,-74.0466102
% Start altitude,-23.1299991607666
% Start GPS horizontal error(Meter),4.28000020980835
% Start GPS vertical error(Meter),6.75
% Start GPS number of satellites,6
% End latitude,40.488527
% End longitude,-74.0466998
% End altitude,-51.229999542236328
% End GPS horizontal error(Meter),17.930000305175781
% End GPS vertical error(Meter),29.1299991607666
% End GPS number of satellites,6
% Cast duration (Seconds),93.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2016-02-19
% Temperature calibration date,2016-02-17
% Pressure calibration date,2016-02-12
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
3.4499999999999997,3.4659022880350738,25.770919799804688,40939.83984375,40318.19790263824,25.74701209898349,1526.4175582948312,1016.1550843617735
3.75,3.7670660080139293,25.628120309682256,41105.331856939782,40595.356499023219,25.94319884762551,1526.28472369558,1016.3462666613716
4.05,4.06817526149388,25.519207000732422,41288.62109375,40864.280681554839,26.133785623221023,1526.2276570091647,1016.523119108162
4.35,4.3692462141742752,25.457324708689828,41356.525278776826,40981.686521773066,26.216927059529425,1526.1703286355685,1016.6052527180415
4.6499999999999995,4.670298101192909,25.419921875,41391.52734375,41046.798373038931,26.2629973257843,1526.1331137846282,1016.6522617365174
4.9499999999999993,4.9713396857447991,25.408256530761719,41416.4453125,41081.013471697384,26.287211005433527,1526.1354816902333,1016.6752221805186
5.2499999999999991,5.2723715684700494,25.4023380279541,41486.91796875,41155.747522803969,26.34028650099091,1526.1827497670311,1016.7181802982533
5.55,5.5733719505753108,25.377920175449638,41771.452491848475,41458.095477515068,26.555375099745675,1526.3578848010284,1016.8884229357661
5.85,5.8743247511156929,25.320070266723633,41974.20703125,41707.222196594681,26.732567626220558,1526.4106904534203,1017.0400832619232
6.1499999999999995,6.1752454447968059,25.268903732299805,42024.4296875,41799.628167042763,26.798120245018747,1526.3603951762418,1017.1058112486069
6.4499999999999993,6.476139192877806,25.175101232532143,42111.11100887775,41964.151515826023,26.914898256102212,1526.2600074156565,1017.2226361736368
6.7499999999999991,6.7769937014625707,25.052192687988281,42216.7421875,42172.720035131781,27.062973232782813,1526.1209358017957,1017.3715331411703
7.0499999999999989,7.0778150652938869,24.975967407226562,42249.8671875,42270.184430077323,27.1320181563853,1526.0117771599871,1017.4471882310226
7.35,7.3786131682288048,24.899291917491944,42294.066178789973,42379.4251917671,27.209472706387814,1525.9101960447313,1017.5292743218081
7.6499999999999995,7.6793833259786206,24.837074279785156,42404.7890625,42543.417400908875,27.326176454603512,1525.8862819953426,1017.6366514732298
7.9499999999999993,7.980124776486238,24.7889404296875,42497.3828125,42677.532847395378,27.421659127986047,1525.8743938230116,1017.7239259541234
8.25,8.28083041685337,24.692502467890751,42648.6464470796,42912.556551803158,27.589021851754744,1525.8195259834984,1017.8794316990404
8.5499999999999989,8.5814988803725036,24.606893539428711,42705.58203125,43043.999517231023,27.682366842679613,1525.7116707352625,1017.9760026584628
8.85,8.8821450301910385,24.558666229248047,42737.41796875,43118.006617708015,27.734891870408031,1525.6528722124197,1018.0309152626467
9.1499999999999986,9.1827676347505154,24.485206160126204,42825.904249507272,43271.421473853719,27.844099733068457,1525.5918636660065,1018.1358572643692
9.45,9.4833574200882751,24.411163330078125,42936.56640625,43448.244801912173,27.970115982012938,1525.5472430461314,1018.2536182626419
9.75,9.7839021456496358,24.250909791055179,43054.988613008754,43709.840889912135,28.156169635133676,1525.3505192574951,1018.4415649756485
10.049999999999999,10.084382146528029,23.925514221191406,43057.6484375,44003.266110640259,28.363299371722974,1524.7572628559869,1018.6927322456613
10.35,10.384800763889388,23.705881118774414,43050.12109375,44193.966010765471,28.497625203928983,1524.3488613090901,1018.8581757674804
10.732005451766538,10.767278341286655,23.509012477473735,43061.842567902095,44385.404246168524,28.632609990959185,1523.9979591645065,1019.0177151333255
10.732005451766538,10.764135664601094,23.367229613140285,43105.026692556974,44560.15678107633,28.756356919207697,1523.7679766679191,1019.1513082504563
10.35,10.381736011540657,23.354924312545847,43070.515679205084,44535.811286576965,28.738781009247919,1523.7108183459443,1019.1398409986575
10.049999999999999,10.081423694280234,23.354703903198242,43058.9609375,44524.066390417938,28.730413967587246,1523.6961402314119,1019.1322738076331
9.75,9.78109968676455,23.436096832912035,43044.502143218058,44434.321670991434,28.667076915471949,1523.8317198534483,1019.0601151159875
9.45,9.4807477547587435,23.577032039607126,43030.293029955363,44290.780254823672,28.565827838624635,1524.0783566405123,1018.9423944273159
9.1499999999999986,9.1803562332138888,23.756755828857422,43008.75390625,44105.43028869306,28.434958436487197,1524.3906226725553,1018.7911372456566
8.85,8.87991139658407,23.955991286878746,42905.789391909464,43820.774806176923,28.232933144226152,1524.6735305719255,1018.5804139383243
8.5499999999999989,8.57939461540177,24.235450244971091,42790.372167839982,43454.839912031261,27.973411597178185,1525.0944150434711,1018.3030135402347
8.25,8.2788157081842666,24.367685361996898,42712.517092401649,43259.590539038742,27.834795831339488,1525.272347267289,1018.1589999263968
