% Device,CC1606011
% File name,CC1606011_20200811_122016
% Cast time (UTC),2020-08-11 12:20:16
% Cast time (local),2020-08-11 08:20:16
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,40.4884485
% Start longitude,-74.0466102
% Start altitude,-23.1299991607666
% Start GPS horizontal error(Meter),4.28000020980835
% Start GPS vertical error(Meter),6.75
% Start GPS number of satellites,6
% End latitude,40.488527
% End longitude,-74.0466998
% End altitude,-51.229999542236328
% End GPS horizontal error(Meter),17.930000305175781
% End GPS vertical error(Meter),29.1299991607666
% End GPS number of satellites,6
% Cast duration (Seconds),93.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2016-02-19
% Temperature calibration date,2016-02-17
% Pressure calibration date,2016-02-12
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
72.2,9.7286837749683386,23.469873428344727,43046.390625
72.4,9.530238973799527,23.524250030517578,43033.1328125
72.6,9.3177751601795418,23.626331329345703,43027.640625
72.8,9.1470479493427614,23.756755828857422,43008.75390625
73,8.978378767680784,23.887094497680664,42969.33203125
73.2,8.8083420170490818,24.024333953857422,42842.7578125
73.4,8.6992011862171825,24.153947830200195,42824.5390625
73.6,8.5927935859761053,24.237489700317383,42819.54296875
73.8,8.4501291955738935,24.296279907226562,42742.4765625
74,8.3122522502400429,24.345157623291016,42719.21875
74.2,8.1538560483143936,24.387294769287109,42706.68359375
74.4,7.9639905012959726,24.412300109863281,42681.7109375
74.6,7.7679680328908329,24.439426422119141,42628.515625
74.8,7.5634006426106914,24.477745056152344,42516.203125
75,7.3386535037953955,24.525373458862305,42395.4453125
75.2,7.1091170125631056,24.595705032348633,42318.3046875
75.4,6.9049005744314034,24.665590286254883,42278.515625
75.6,6.68118721857509,24.717254638671875,42260.953125
75.8,6.4639779215566691,24.760231018066406,42205.609375
76,6.27242627834684,24.803396224975586,42167.19921875
76.2,6.0712959303030285,24.848068237304688,42079.50390625
76.4,5.8971908050375355,24.913799285888672,42062.1953125
76.6,5.7593386552359114,24.982492446899414,42025.81640625
76.8,5.6002853717062582,25.048566818237305,41955.296875
77,5.4662002354544388,25.09918212890625,41902.16015625
77.2,5.3396386358847465,25.143440246582031,41836.69140625
77.4,5.1870865501700365,25.185842514038086,41648.00390625
77.6,5.0331707101828638,25.225515365600586,41515.6640625
77.8,4.8631797359183491,25.258089065551758,41498.76953125
78,4.6535178174399654,25.27696418762207,41446.7421875
78.2,4.4691664153190054,25.300790786743164,41426.83984375
78.4,4.2670347092429655,25.317096710205078,41407.53515625
78.6,4.04335950035931,25.329727172851562,41376.9140625
78.8,3.8350756412681335,25.337265014648438,41315.8046875
79,3.6257703969840875,25.349348068237305,41233.1171875
79.2,3.4171489371849031,25.367177963256836,41147.44140625
79.4,3.2218684273979274,25.397113800048828,41054.6015625
79.6,3.034797146126575,25.440237045288086,40875.78125
79.8,2.8624286617912595,25.500055313110352,40750.2734375
80,2.7037434965477392,25.591859817504883,40615.21875
80.2,2.5614758346611541,25.688213348388672,40468.3125
80.4,2.4185177125694892,25.785976409912109,40338.17578125
80.6,2.2953998309563417,25.881698608398438,40272.921875
80.8,2.16441699725579,25.949043273925781,40206.62890625
81,2.031381856426334,25.995218276977539,40127.37109375
81.2,1.9154460960900401,26.030441284179688,40087.1640625
81.4,1.7892507074578496,26.058460235595703,40065.2421875
81.6,1.6090306224755597,26.082809448242188,40056.35546875
81.8,1.4544567472100685,26.100521087646484,40052.453125
82,1.2974920104333449,26.112598419189453,40055.13671875
82.2,1.1542039170282052,26.119880676269531,40059.48828125
82.4,1.0228872973169114,26.127086639404297,40049.57421875
82.6,0.88575231060122483,26.132774353027344,40051.359375
82.8,0.75990978146610288,26.136997222900391,40057.046875
83,0.64226885145207646,26.141536712646484,40067.578125
83.2,0.56839680418951311,26.144041061401367,40059.65234375
83.4,0.4934986033624984,26.143886566162109,40074.0625
83.6,0.43809255188850926,26.149299621582031,40060.87890625
83.8,0.35395992265573284,26.151988983154297,40054.80078125
84,0.2800897827418023,26.1533260345459,40067.8515625
84.2,0.22981163806713134,26.155221939086914,40063.02734375
84.4,0.16585589634656017,26.156721115112305,40056.796875
84.6,0.053007179772475155,26.159833908081055,37701.02734375
84.8,0.0017028815333492986,26.160058975219727,10239.9306640625
85,-0.0041245032536263437,26.146202087402344,4075.31396484375
85.2,-0.0017483815708772,26.136919021606445,2900.8857421875
85.4,-0.0014226596683997173,26.135505676269531,2500.150390625
85.6,-0.0055391527317443234,26.129283905029297,2044.6456298828125
85.8,0.00059826045491284674,26.11610221862793,1896.595703125
86,-0.0014687865024747282,26.108221054077148,1749.3046875
86.2,-0.00045928011513396427,26.104219436645508,1730.2744140625
86.4,-0.0073137721408809142,26.103057861328125,1596.875244140625
86.6,-0.0059609429996339,26.099935531616211,1388.46728515625
86.8,-0.001873929593251944,26.09126091003418,2253.71484375
87,-0.0073579916263213363,26.078519821166992,2858.85400390625
87.2,-0.000879163034392505,26.06842041015625,2564.2978515625
87.4,-0.0019219637759579911,26.058483123779297,2192.68408203125
87.6,-0.0026214417636190035,26.045284271240234,2158.8359375
87.8,0.0011251099118076979,26.036901473999023,2569.099609375
88,-0.0023085523409900333,26.035316467285156,2316.225830078125
88.2,0.0021198764706671369,26.031553268432617,1903.8126220703125
88.4,0.0038122136685529995,26.021631240844727,1736.85205078125
88.6,0.0020856284421242322,26.014524459838867,1545.7843017578125
88.8,0.0044665184964554072,26.004611968994141,1385.16943359375
89,-0.0013627736391530476,26.003276824951172,1272.18603515625
89.2,-0.0010360980623609351,26.001022338867188,1184.629638671875
89.4,-2.6591675020171124E-05,25.984809875488281,1067.19189453125
89.6,-0.00072702333699758981,25.972827911376953,1021.0740966796875
89.8,-0.0010841322450669821,25.969242095947266,1041.6361083984375
90,0.00095343505535794293,25.968723297119141,1092.007080078125
90.2,0.0002510960447494881,25.968299865722656,1064.376953125
90.4,-0.0024978280488685556,25.965419769287109,1027.6749267578125
90.6,0.00056303179306205209,25.95855712890625,1029.7637939453125
90.8,0.0029410608244440084,25.947084426879883,963.9532470703125
91,-0.0025449085572581964,25.938087463378906,1000.287109375
91.2,0.00017453587939719739,25.914951324462891,869.04345703125
91.4,0.0018697341002340551,25.902544021606445,813.04290771484375
91.6,0.00014124152517069888,25.902256011962891,816.9024658203125
91.8,0.0049149004393669316,25.90155029296875,814.844482421875
92,0.0021621616484832629,25.888835906982422,791.683349609375
92.2,0.0011212682555505893,25.856103897094727,773.68316650390625
92.4,0.00076320567316301435,25.827571868896484,680.58758544921875
92.6,-0.001302887609906378,25.814729690551758,618.9876708984375
92.8,-0.0013195347870205154,25.815216064453125,584.7000732421875
93,0.00071612516477337351,25.82713508605957,562.17999267578125
93.2,0.0017275389007451736,25.8305721282959,544.993408203125
93.4,0,25.834465026855469,532.234619140625
